player,degree,pagerank,degree_centrality,eigenvector_centrality,clustering_coeff,community,matches_played,avg_kills,win_rate
0n1y,82,0.00018226997486404508,0.009326660600545952,1.5546959459213745e-05,0.004239075540920207,0,39,12.897435897435898,0.358974358974359
1-mar,202,0.0002692889960723955,0.022975432211101002,0.013751360883121472,0.004064721682367191,1,86,13.976744186046512,0.4069767441860465
1000miles,31,6.814535739476716e-05,0.0035259326660600546,8.369547692004705e-07,0.004831379085586864,2,9,14.11111111111111,0.1111111111111111
10k,215,0.0003320149745550624,0.024454049135577798,0.00023947439587576697,0.003417061118552811,3,101,13.356435643564357,0.44554455445544555
10x,57,0.00012118559897410957,0.006483166515013649,4.0571944672712094e-05,0.004082693223873187,4,23,14.391304347826088,0.782608695652174
118,25,3.62257758136546e-05,0.0028434940855323024,4.140817743819144e-06,0.004881179294898056,0,4,16.5,0.5
12pk,9,2.7989336215376868e-05,0.0010236578707916288,0.00017858167440035493,0.011210834915561858,1,3,13.666666666666666,0.3333333333333333
16ch0ps,48,7.940816957054982e-05,0.00545950864422202,0.0003796895651629694,0.009014740367222877,16,19,14.157894736842104,0.21052631578947367
17nik,17,3.386217529369419e-05,0.0019335759781619656,4.826291425165064e-06,0.0036910455072902424,3,3,9.333333333333334,0.0
1ccug,55,9.396771814853122e-05,0.006255686988171065,1.966878433282595e-05,0.010035000586502009,16,24,11.041666666666666,0.125
1ce2k,9,2.4505440188759422e-05,0.0010236578707916288,2.3058268688438786e-07,0.00951999727893871,3,2,8.5,0.0
1frog1,9,2.100056992720002e-05,0.0010236578707916288,1.4352335256367038e-05,0.005376251456959461,7,1,24.0,0.0
1k1m,9,2.2764873443538986e-05,0.0010236578707916288,0.00013624296267486052,0.005713691498032714,1,1,6.0,0.0
1kapumba,31,6.53841615095385e-05,0.0035259326660600546,1.3544896785390349e-05,0.005692083108371397,8,9,13.333333333333334,0.3333333333333333
1kingb,9,2.7426348812481735e-05,0.0010236578707916288,0.0002519094899407594,0.007331373086044781,1,1,3.0,0.0
1kuzohh,9,4.5296743561084294e-05,0.0010236578707916288,8.944626625594636e-08,0.01549038425223271,9,4,24.5,0.5
1mpala,14,3.6224369727968115e-05,0.0015923566878980893,1.4598899194517565e-06,0.007576636148862875,10,4,7.0,0.0
1ndra,48,9.878722397168399e-05,0.00545950864422202,2.1645735929978063e-05,0.005661176056907777,3,21,14.333333333333334,0.42857142857142855
1nsane,24,7.780960753942201e-05,0.00272975432211101,1.4824258841001722e-05,0.007956904012948691,8,11,18.363636363636363,0.45454545454545453
1sickbutton,70,0.00014328005080610086,0.007961783439490446,1.587009642527908e-05,0.003683365931282406,11,24,9.791666666666666,0.375
1tapgod,96,0.0002342010925461432,0.01091901728844404,0.0009986309587512435,0.009708688406881326,8,72,15.416666666666666,0.4305555555555556
1ukey,34,6.401665063302445e-05,0.003867151956323931,6.476161395189257e-05,0.012696624758226787,12,16,13.9375,0.3125
1van,113,0.00020954507448106574,0.012852593266606005,0.0001238865211942442,0.0070793606029769755,16,77,14.532467532467532,0.5194805194805194
21ningning,10,2.624160542339559e-05,0.001137397634212921,4.473684458492339e-06,0.014031259509463009,16,3,12.666666666666666,0.3333333333333333
2766,61,8.717234486776732e-05,0.006938125568698817,1.264859351060336e-05,0.0063251807471147005,16,23,13.826086956521738,0.6086956521739131
2ge,184,0.0002867882942756925,0.020928116469517744,0.0001510739188275472,0.004059917586547404,16,100,15.29,0.6
2rush,23,4.282052176636884e-05,0.002616014558689718,0.0006308656913720922,0.006742632405619424,7,7,11.428571428571429,0.14285714285714285
2w1ns,14,4.667121732097205e-05,0.0015923566878980893,1.7744398277136014e-06,0.007547350441474064,3,4,15.25,0.5
3005,32,5.143721635178819e-05,0.003639672429481347,0.001203547179710184,0.00598189107598414,1,8,15.75,0.25
3715,9,3.7559487183955366e-05,0.0010236578707916288,3.1518357208300116e-07,0.008184663102467763,13,2,6.0,0.0
3nable,42,5.327209068604986e-05,0.004777070063694267,1.4100540280700982e-05,0.005368947039693667,16,13,12.76923076923077,0.46153846153846156
3oh1,9,3.203263924603578e-05,0.0010236578707916288,0.00045476260805713437,0.01142664279960103,1,2,14.5,0.0
4dr,22,4.6555176596938405e-05,0.002502274795268426,7.890302551482e-06,0.0075002234689309916,9,6,10.666666666666666,0.0
4ebananafone,14,3.0709760291600354e-05,0.0015923566878980893,0.00019445066731846352,0.006526011504136094,1,2,5.5,0.0
4funnie2k,21,4.3318429344419386e-05,0.0023885350318471337,3.8097963241799824e-06,0.006310946343493016,14,5,10.8,0.2
4kxxx,25,6.402805550368123e-05,0.0028434940855323024,9.210719432834543e-07,0.006509179066466067,0,8,13.25,0.25
4qu1la,9,2.083122864664418e-05,0.0010236578707916288,8.233790256364454e-07,0.005291234832834453,4,1,10.0,0.0
4sh,9,3.0044081314171185e-05,0.0010236578707916288,7.572196506176072e-05,0.011723294369075727,7,2,10.5,0.0
4ster,9,2.48279692863581e-05,0.0010236578707916288,0.00018998945984206005,0.006537103645143804,1,1,3.0,0.0
4tapping,26,0.00011746913617965383,0.002957233848953594,4.7155787180906286e-05,0.004809189411101299,15,10,18.3,0.6
4woodanet,48,6.117536298793329e-05,0.00545950864422202,1.6998882965603873e-05,0.009904094542902659,10,17,13.411764705882353,0.35294117647058826
5kiiin,9,2.9466741508106082e-05,0.0010236578707916288,0.00021393502448862318,0.006162984972369657,1,1,1.0,0.0
66,9,4.21672828991175e-05,0.0010236578707916288,9.103444567153019e-08,0.008184663102467763,13,2,4.5,0.0
66j,132,0.00014741963430998128,0.015013648771610556,0.006907885482338361,0.0040181648580952115,1,43,14.372093023255815,0.23255813953488372
6ix,23,5.113852715248015e-05,0.002616014558689718,4.4786393452036476e-06,0.006723969591049349,3,10,14.7,0.3
6ixtos,44,9.665596711006196e-05,0.005004549590536852,0.0001591914612903751,0.00881695689289128,9,20,13.2,0.45
6ixxer,9,5.1162238124818355e-05,0.0010236578707916288,6.116756923193288e-07,0.006807620899285491,13,2,11.0,0.0
6pack,28,3.783797412507235e-05,0.0031847133757961785,0.00141814742028496,0.00712630838679474,1,7,9.285714285714286,0.14285714285714285
6sonya,192,0.0005264350766169131,0.02183803457688808,0.00024779127369069286,0.0036878514768843317,11,107,13.785046728971963,0.6074766355140186
